Artwork,Medium,Culture,Period,Provenance,Image Location,War-Gear,Context,Wielder,Description 1,Description 2,Description 3,Description 4,Held 1,Held 2,Notes
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 56,Spear,P (H),W,SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 56,Spear,P (H),W,SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 56,Spear,P (H),W,SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 56,Spear,P (H),W,SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 56,Spear,P (H),W,SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 56,Spear,P (H),W,SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 56,Spear,P (H),W,SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 56,Spear,P (H),W,SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 56,Spear,P (H),W,SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 56,Spear,P (H),W,SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 56,Spear,P (H),W,SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 56,Spear,P (H),W,SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 56,Spear,P (H),W,SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 56,Spear,P (H),W,SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 56v,Spear,V,Xtn (A),SLS,BB,Lug,n/a,R,HFwd,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 56v,Spear,V,Xtn (A),SLS,BB,Lug,n/a,L,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 56v,Spear,V,None,SLS,BB,Lug,n/a,n/a,HFwd,In air
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 56v,Spear,V,W,SLS,BB,Lug,n/a,R,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 56v,Spear,V,W,SLS,BB,Lug,n/a,R,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 56v,Spear,V,W,SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 56v,Spear,V,W,SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 56v,Spear,V,W,SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 56v,Spear,V,W,SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 56v,Spear,V,None,SLS,BB,Lug,n/a,n/v,HFwd,In air
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 56v,Spear,P (H),W,SLS,BB,Lug,n/a,L,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 57v,Spear,P (H),El (Ret?),SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 57v,Spear,P (H),El (Ret?),SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 57v,Spear,P (H),El (Ret?),SLS,BB,n/a,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 57v,Spear,P (H),El (Ret?),SLS,BB,n/a,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 57v,Spear,P (H),El (Ret?),SLS,BB,n/a,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 57v,Spear,P (H),El (Ret?),SLS,BB,Lug,n/a,L,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 57v,Spear,P (H),El (Ret?),SLS,BB,Lug,n/a,L,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 57v,Spear,P (H),El (Ret?),SLS,BB,Lug,n/a,L,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 57v,Spear,V,W,SLS,BB,n/a,n/a,R,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 57v,Spear,V,W,SLS,BB,n/a,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 57v,Spear,V,W,SLS,BB,n/a,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 57v,Spear,V,W,SLS,BB,n/a,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 57v,Spear,V,W,SLS,BB,n/a,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 57v,Spear,V,W,SLS,BB,n/a,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 57v,Spear,V,W,SLS,BB,n/a,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 57v,Spear,V,W,SLS,BB,n/a,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 57v,Spear,V,W,SLS,BB,n/a,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 58,Sword,Ent,El (R),RP,CG,n/v,n/a,R,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 58,Sword,Ent,El (R),RP,CG,n/v,n/a,R,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 58,Sword,Ent,El (R),RP,SG,n/v,n/a,R,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 59,Sword,V (Ex),Wk (Ex),RP,CG,n/v,n/a,R,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 59v,Spear,P (H),Man,SLS,LB,Lug,n/a,R,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 59v,Spear,P (H),Man,SLS,LB,Lug,n/a,R,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 59v,Spear,P (H),Man,SLS,LB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 59v,Spear,P (H),Man,SLS,LB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 59v,Spear,P (H),Man,SLS,LB,n/a,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 59v,Spear,P (H),Man,SLS,LB,n/a,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 59v,Spear,P (H),Man,SLS,BB,Lug,n/a,L,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 59v,Spear,P (H),Man,SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 59v,Spear,P (H),Man,SLS,BB,n/a,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 59v,Spear,P (H),Man,SLS,BB,n/a,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 59v,Spear,P (H),Man,SLS,LB,Lug,n/a,L,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 59v,Spear,P (H),Man,SLS,LB,Lug,n/a,L,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 59v,Spear,P (H),Man,SLS,LB,Lug,n/a,R,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 59v,Spear,P (H),Man,SLS,LB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 59v,Spear,P (H),Man,SLS,LB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 59v,Spear,P (H),Man,SLS,LB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 59v,Spear,P (H),Man,SLS,LB,n/a,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 59v,Spear,P (H),Man,SLS,LB,n/a,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 59v,Spear,P (H),Man,SLS,LB,n/a,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 59v,Spear,P (H),Man,SLS,LB,Lug,n/a,L,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 59v,Spear,P (H),Man,SLS,LB,Lug,n/a,R,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 59v,Spear,P (H),Man,SLS,LB,Lug,n/a,R,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 59v,Spear,P (H),Man,SLS,LB,Lug,n/a,R,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 59v,Spear,P (H),Man,SLS,LB,Lug,n/a,R,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 59v,Spear,P (H),Man,SLS,LB,Lug,n/a,R,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 59v,Spear,P (H),Man,SLS,LB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 59v,Spear,P (H),Man,SLS,LB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 59v,Spear,P (H),Man,SLS,LB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 59v,Spear,P (H),Man,SLS,LB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 59v,Spear,P (H),Man,SLS,LB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 59v,Spear,P (H),Man,SLS,LB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 59v,Spear,P (H),Man,SLS,LB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 59v,Spear,P (H),Man,SLS,LB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 59v,Spear,P (H),Man,SLS,LB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 59v,Spear,P (H),Man,SLS,LB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 59v,Spear,P (H),Man,SLS,BB,n/a,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 59v,Spear,P (H),Man,SLS,BB,Lug,n/a,R,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 59v,Spear,P (H),Man,SLS,BB,Lug,n/a,R,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 59v,Spear,P (H),Man,SLS,BB,Lug,n/a,R,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 59v,Spear,P (H),Man,SLS,BB,Lug,n/a,R,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 59v,Spear,P (H),Man,SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 59v,Spear,P (H),Man,SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 59v,Spear,P (H),Man,SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 59v,Spear,P (H),Man,SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 59v,Spear,P (H),Man,SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 59v,Spear,P (H),Man,SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 59v,Spear,P (H),Man,SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 59v,Spear,P (H),Man,SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 59v,Spear,P (H),Man,SLS,BB,Lug,n/a,n/v,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 60,Spear,V,Xtn (A),SLS,BB,n/a,n/a,R,Rev,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 60,Spear,V,Xtn (A),SLS,BB,n/a,n/a,L,Rev,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 60,Spear,V,Xtn (A),SLS,BB,n/a,n/a,L,Rev,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 60,Spear,V,None,SLS,n/v,n/v,n/a,n/a,HFwd,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 60,Spear,V,None,SLS,n/v,n/v,n/a,n/a,HFwd,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 60,Spear,V,Xtn (A),SLS,BB,Lug,n/a,R,HFwd,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 60,Spear,V,Xtn (A),SLS,LB,Lug,n/a,L,Rev,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 60,Spear,V,None,SLS,n/v,n/a,n/a,n/a,HFwd,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 64,Spear,R,Xtn (G),SLS,BB,n/a,n/a,R,Rev,Presented
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 64,Spear,P (H),Xtn (A),SLS,BB,Lug,n/a,R,Rev,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 64,Spear,P (H),Xtn (A),SLS,BB,n/a,n/a,R,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 64,Spear,P (H),Xtn (A),SLS,BB,n/a,n/a,L,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 64,Spear,P (H),Xtn (A),SLS,BB,Lug,n/a,L,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 64,Spear,P (H),Xtn (A),SLS,BB,n/a,n/a,R,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 64v,Spear,Ent,Xtn (G),SLS,LB,Lug,n/a,L,Up,Tassels
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 65,Spear,R,Xtn (G),SLS,LB,Lug,n/a,R,Up,Presented
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 65,Sword,R?,El (R?),RP,CG,n/v,n/a,R,Up,Knighting?
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 65v,Spear,Ent,Xtn (G),SLS,LB,Lug,n/a,L,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 65v,Spear,V,W,SLS,BB,n/a,n/a,R,HFwd,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 65v,Spear,V,W,SLS,BB,n/a,n/a,R,HFwd,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 65v,Spear,V,W,SLS,BB,n/a,n/a,R,HFwd,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 65v,Spear,V,Xtn (A),SLS,BB,Lug,n/a,R,HFwd,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 67,Sword,V,Xtn (A),RP,CG,n/v,n/a,R,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 68,Spear,P (H),El (Ret?),SLS,LB,Lug,n/a,L,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 68,Spear,P (H),El (Ret?),SLS,LB,Lug,n/a,L,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 69,Spear,V,Xtn (A),SLS,BB,Lug,n/a,R,Rev,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 69,Spear,V,Xtn (A),SLS,BB,n/a,n/a,L,Rev,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 69,Spear,V,W,SLS,BB,n/a,n/a,R,HFwd,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 69,Sword,P (W),W,Disc,SG,n/a,n/a,L,Rev,Sheathed
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 69,Spear,V,W,SLS,BB,Lug,n/a,R,HFwd,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 69,Sword,P (W),W,HP,SG,SG,n/a,L,Rev,Shd
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 69,Spear,V,None,SLS,BB,n/a,n/a,n/a,HFwd,In flight
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 69,Spear,V,None,SLS,BB,Lug,n/a,n/a,HFwd,In flight
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 69,Spear,V,W,SLS,BB,n/a,n/a,R,Up,
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 69,Spear,V,None,SLS,n/v,n/v,n/a,n/a,HFwd,Embedded
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 69,Spear,V,None,SLS,n/v,n/v,n/a,n/a,HFwd,Embedded
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 69,Spear,V,None,SLS,n/v,n/v,n/a,n/a,HFwd,Embedded
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 69,Spear,V,None,SLS,n/v,n/v,n/a,n/a,HFwd,Embedded
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 69,Spear,V,None,SLS,n/v,n/v,n/a,n/a,HFwd,Embedded
"London, British Library MS Harley 603: Harley Psalter",Illuminated Manuscript,Anglo-Saxon,1000-1025,"Canterbury, Christ Church",Folio 69,Spear,V,None,SLS,n/v,n/v,n/a,n/a,HFwd,Embedded
